,name,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,weekly_discount,monthly_discount,security_deposit_perc,cleaning_fee_perc,guests_included,extra_people_perc,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price
9835,HOAMA - Ambient and Cosy - Conveniently located,100%,f,10,10,f,-33.82413,151.07806000000002,t,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,,,3846.0,65.0,2,23,2,1125,2,5,1125,1125,2.5,1125.0,27,57,83,137,8,8,83.0,9.0,9.0,10.0,10.0,10.0,8.0,f,t,f,strict_14_with_grace_period,f,f,10,10,0,0,1.48,$130.00
8191,Stairway to Heaven,,f,1,1,f,-33.760059999999996,151.26285,t,Townhouse,Entire home/apt,6,2.0,3.0,5.0,Real Bed,,,,444.0,89.0,1,0,3,31,3,3,31,31,3.0,31.0,0,0,0,67,2,2,90.0,9.0,9.0,10.0,10.0,9.0,10.0,f,t,f,strict_14_with_grace_period,f,f,1,1,0,0,0.3,$225.00
1254,"Cosy cottage, sunny terrace - near CBD, beaches",100%,t,2,2,f,-33.8262,151.22638999999998,t,Cottage,Private room,2,1.5,1.0,1.0,Real Bed,,,,0.0,34.0,1,0,2,5,2,2,5,5,2.0,5.0,11,26,54,54,13,13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,2,1,1,0,1.4,$59.00
1195,Stylish and comfy one bedroom in heart of Sydney,100%,f,1,1,f,-33.87789,151.2145,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,,51.0,1,0,1,1125,1,1,1125,1125,1.0,1125.0,1,1,1,16,3,3,70.0,9.0,6.0,9.0,10.0,10.0,7.0,f,t,f,moderate,f,f,1,1,0,0,0.63,$99.00
4038,Clean tidy and fresh apartment (English&??????),,f,1,1,f,-33.827059999999996,151.0867,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,267.0,27.0,1,0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,flexible,f,f,1,0,1,0,0.06,$75.00
3902,MyHoYoHo City View Apartments,91%,f,16,16,f,-33.873470000000005,151.21741,f,Apartment,Entire home/apt,5,1.0,2.0,4.0,Real Bed,,,,0.0,140.0,4,51,1,1125,1,5,1125,1125,1.2,1125.0,28,50,80,152,4,4,75.0,8.0,9.0,9.0,9.0,10.0,8.0,f,f,f,moderate,f,f,16,16,0,0,0.37,$107.00
5424,Large Executive house on Beaches,100%,t,4,4,f,-33.75145,151.26423,t,House,Entire home/apt,9,2.5,3.0,4.0,Real Bed,,,,91.0,34.0,2,7,2,1125,2,2,1125,1125,2.0,1125.0,0,0,0,0,12,0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,f,moderate,f,f,4,2,2,0,0.31,$220.00
2533,"Sydney views,heart of Potts Point",75%,f,1,1,t,-33.87449,151.22458,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,193.0,34.0,1,0,3,1125,3,3,1125,1125,3.0,1125.0,0,28,58,333,18,3,96.0,10.0,9.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.51,$218.00
259,Luxury designer loft in the heart of Surry Hills!,83%,t,1,1,f,-33.88427,151.20846,t,Loft,Entire home/apt,2,1.5,0.0,1.0,Real Bed,,,,185.0,44.0,1,0,1,1125,1,1,1125,1125,1.0,1125.0,8,15,20,190,36,36,98.0,10.0,10.0,10.0,9.0,10.0,10.0,f,t,f,moderate,f,f,1,1,0,0,5.68,$135.00
4417,Room Available in Randwick,,f,1,1,f,-33.91479,151.24774,t,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,,,,1,0,1,1125,1,1,1125,1125,1.0,1125.0,0,0,0,0,1,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,flexible,f,f,1,0,1,0,0.17,$150.00
334,Beautiful City apartment for two!,,f,1,1,t,-33.87423,151.22358,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,,357.0,36.0,1,0,5,1125,5,5,1125,1125,5.0,1125.0,0,0,0,0,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,0.03,$140.00
6649,Superb 3br in Heart of City : Darling Harbour,100%,f,1,1,f,-33.87611,151.20473,t,Apartment,Entire home/apt,6,2.0,3.0,4.0,Real Bed,,,,126.0,67.0,4,8,1,1125,1,5,1125,1125,1.4,1125.0,7,12,32,146,20,20,93.0,10.0,9.0,10.0,10.0,10.0,9.0,f,t,f,strict_14_with_grace_period,f,f,1,1,0,0,5.31,$238.00
